 Reporting Date,ALL INDIA HOUSE PRICE INDEX (Base-Year : Q1:2010-11),BoP - CURRENT ACCOUNT BALANCE INR,BoP - CURRENT ACCOUNT CREDIT INR,BoP - CURRENT ACCOUNT CREDIT USD,BoP - CURRENT ACCOUNT DEBIT INR,BoP - CURRENT ACCOUNT DEBIT USD,BoP - DIRECT FOREIGN INVESTMENT ABROAD NET INR,BoP - DIRECT FOREIGN INVESTMENT ABROAD NET USD,BoP - DIRECT FOREIGN INVESTMENT - INDIA NET INR,BoP - DIRECT FOREIGN INVESTMENT - INDIA NET USD,BoP - ERRORS AND OMMISSIONS - NET INR,BoP - ERRORS AND OMMISSIONS - NET USD,BoP - FOREIGN DIRECT INVESTMENT (INDIA+ABROAD) - NET INR,BoP - FOREIGN DIRECT INVESTMENT (INDIA+ABROAD) - NET USD,BoP - INCOME - NET INR,BoP - MERCHANDISE - CREDIT INR,BoP - MERCHANDISE - DEBIT INR,BoP - MERCHANDISE - NET INR,BoP - MONETARY MOVEMENTS - NET INR,BoP - MONETARY MOVEMENTS - NET USD,BoP - OTHER INVESTMENT (LOANS+BANKING CAPITAL+RUPEE DEBT SERVICE+OTHER CAPITAL) - NET INR,BoP - OTHER INVESTMENT (LOANS+BANKING CAPITAL+RUPEE DEBT SERVICE+OTHER CAPITAL) - NET USD,BoP - PORTFOLIO FOREIGN INVESTMENT ABROAD NET INR,BoP - PORTFOLIO FOREIGN INVESTMENT ABROAD NET USD,BoP - PORTFOLIO INVESTMENT IN INDIA - NET INR,BoP - PORTFOLIO INVESTMENT IN INDIA - NET USD,BoP - PORTFOLIO INVESTMENT - NET INR,BoP - PORTFOLIO INVESTMENT - NET USD,"BoP - SERVICES, GOVERNMENT SERVICES NOT INCLUDED ELSEWHERE , NET INR","BoP - SERVICES, GOVERNMENT SERVICES NOT INCLUDED ELSEWHERE , NET USD","BoP - SERVICES INSURANCE, NET INR","BoP - SERVICES INSURANCE, NET USD",BoP - SERVICES - NET INR,"BoP - SERVICES TRAVEL, NET INR","BoP - SERVICES TRAVEL,NET USD",BoP - TOTAL CAPITAL ACCOUNT NET INR,BoP - TOTAL CAPITAL ACCOUNT NET USD,"BoP - TRANSFER OFFICIAL,CREDIT INR","BoP - TRANSFER OFFICIAL,CREDIT USD","BoP - TRANSFER OFFICIAL,DEBIT INR","BoP - TRANSFER OFFICIAL,DEBIT USD","BoP - TRANSFER PRIVATE,CREDIT INR","BoP - TRANSFER PRIVATE,CREDIT USD","BoP - TRANSFER PRIVATE,DEBIT INR","BoP - TRANSFER PRIVATE,DEBIT USD",BoP - TRANSFERS - NET INR,CHANGE IN STOCKS CONSTANT,CHANGE IN STOCKS CURRENT,EXPORTS CONSTANT,EXPORTS CURRENT,GDP AT MARKET PRICES CONSTANT,GDP AT MARKET PRICES CURRENT,GOVERNMENT FINAL CONSUMPTION EXPENDITURE CONSTANT,GOVERNMENT FINAL CONSUMPTION EXPENDITURE CURRENT,GROSS FIXED CAPITAL FORMATION CONSTANT,GROSS FIXED CAPITAL FORMATION CURRENT,LESS IMPORTS CONSTANT,LESS IMPORTS CURRENT,PRIVATE FINAL CONSUMPTION EXPENDITURE CONSTANT,PRIVATE FINAL CONSUMPTION EXPENDITURE CURRENT
2015-Q4,221.71,"-46,946.00","8,08,060.21","1,22,575.37","8,55,006.21","1,29,696.65","-21,188.96","-3,214.17","91,741.97","13,916.42","1,729.75",262.39,"70,553.01","10,702.25","-42,245.37","4,28,089.59","6,52,068.02","-2,23,978.43","-26,741.36","-4,056.42","-2,246.64",-340.80,-60.85,-9.23,"3,712.09",563.09,"3,651.24",553.86,162.04,24.58,757.33,114.88,"1,18,747.37","15,846.81","2,403.82","71,957.61","10,915.31","1,073.32",162.81,"1,438.18",218.16,"1,03,984.06","15,773.43","3,088.77",468.54,"1,00,530.43","56,668.00","61,886.68","5,78,983.00","6,77,377.36","28,36,387.00","34,76,632.47","2,72,799.00","3,49,864.71","8,74,855.00","9,91,937.89","6,14,330.00","7,58,572.01","16,33,448.00","20,96,440.75"
2015-Q3,218.19,"-55,611.10","8,27,077.62","1,27,291.59","8,82,688.71","1,35,850.43","-10,642.10","-1,637.88","53,002.16","8,157.31","-2,720.52",-418.70,"42,360.06","6,519.44","-35,633.85","4,39,052.72","6,80,585.45","-2,41,532.72","5,563.05",856.18,"32,298.84","4,970.96",689.82,106.17,"-22,580.15","-3,475.20","-21,890.33","-3,369.04",-515.15,-79.28,"1,726.01",265.64,"1,15,885.30","6,641.54","1,022.17","52,768.57","8,121.36",574.46,88.41,"1,597.80",245.91,"1,10,430.52","16,995.84","3,737.00",575.14,"1,05,670.18","59,498.00","65,316.18","5,96,859.00","6,87,100.61","27,68,087.00","33,55,884.42","3,35,329.00","4,25,666.70","8,44,359.00","9,60,324.29","6,56,933.00","7,95,276.83","15,13,130.00","19,30,421.54"
2015-Q2,215.31,"-38,923.69","8,05,395.51","1,26,891.07","8,44,319.19","1,33,023.55","-9,176.02","-1,445.69","72,665.04","11,448.47","-6,821.39","-1,074.72","63,489.03","10,002.78","-37,202.52","4,31,762.46","6,48,677.60","-2,16,915.14","-72,547.43","-11,429.94","53,385.58","8,410.96","1,056.95",166.52,360.96,56.87,"1,417.90",223.39,-879.74,-138.60,"1,267.82",199.75,"1,12,669.51","4,611.40",726.53,"1,18,292.51","18,637.13",927.82,146.18,"1,655.29",260.79,"1,08,753.76","17,134.29","5,501.82",866.82,"1,02,524.47","58,664.00","64,910.50","5,82,461.00","6,71,293.85","27,28,279.00","32,43,543.36","2,91,843.00","3,63,606.11","8,38,302.00","9,61,034.50","6,24,902.00","7,57,977.55","15,17,933.00","19,14,897.62"
2015-Q1,212.10,"-4,398.06","8,35,507.59","1,34,244.41","8,39,905.65","1,34,951.07","-7,571.44","-1,216.53","65,270.58","10,487.29","4,798.65",771.02,"57,699.14","9,270.76","-34,894.23","4,46,980.62","6,43,405.30","-1,96,424.68","-1,87,640.78","-30,149.01","44,135.22","7,091.39",101.34,16.28,"85,304.49","13,706.22","85,405.82","13,722.50",-760.43,-122.18,"1,639.78",263.47,"1,24,697.19","12,588.06","2,022.58","1,87,240.18","30,084.64",272.93,43.85,"1,363.36",219.06,"1,08,856.55","17,490.43","5,542.45",890.53,"1,02,223.66","73,124.77","82,494.26","6,27,754.00","6,97,012.65","27,83,733.23","33,14,666.80","2,16,005.34","2,66,690.92","8,60,336.92","9,67,981.12","6,42,072.79","7,58,052.29","15,78,111.95","19,18,984.20"
2014-Q4,202.04,"-47,739.24","8,73,467.78","1,41,034.22","9,21,207.02","1,48,742.42","-4,711.54",-760.75,"47,528.65","7,674.20","-12,179.04","-1,966.48","42,817.11","6,913.45","-34,057.25","4,96,093.69","7,35,370.26","-2,39,276.57","-81,638.13","-13,181.68","59,843.81","9,662.66",807.54,130.39,"38,087.95","6,149.86","38,895.49","6,280.25",-406.75,-65.68,"1,585.16",255.95,"1,23,849.52","11,026.96","1,780.47","1,41,556.41","22,856.36",804.31,129.87,"1,376.63",222.28,"1,07,800.59","17,405.99","5,483.21",885.34,"1,01,745.06","63,605.12","72,448.14","6,35,337.96","7,32,620.04","26,45,947.14","31,84,917.06","2,51,973.19","3,13,546.64","7,93,636.72","9,09,481.16","6,80,646.15","8,36,454.26","15,04,575.61","18,54,293.23"
2014-Q3,193.05,"-66,437.31","8,65,159.48","1,42,750.94","9,31,596.79","1,53,713.06","-8,197.32","-1,352.55","53,498.54","8,827.24","1,926.17",317.82,"45,301.22","7,474.68","-40,145.13","5,03,596.97","7,43,912.08","-2,40,315.11","-41,798.98","-6,896.81","1,843.86",304.24,-668.03,-110.22,"59,833.07","9,872.43","59,165.04","9,762.21",-694.07,-114.52,"2,004.29",330.71,"1,14,704.62","5,067.28",836.10,"1,06,310.12","17,541.12",593.82,97.98,"1,355.45",223.65,"1,05,498.91","17,407.27","5,418.98",894.13,"99,318.30","69,140.17","79,320.01","6,26,568.09","7,27,107.86","25,62,241.58","30,53,982.03","3,07,608.74","3,84,486.82","8,15,553.18","9,44,023.91","6,81,671.43","8,40,838.81","14,12,804.02","17,58,329.10"
2014-Q2,188.04,"-44,738.34","8,38,123.44","1,40,160.41","8,82,861.78","1,47,642.05","-4,194.40",-701.43,"49,595.57","8,293.93",-857.97,-143.48,"45,401.17","7,592.49","-38,332.95","4,87,538.51","6,97,384.32","-2,09,845.81","-66,846.69","-11,178.85","-7,345.02","-1,228.32",-149.72,-25.04,"74,536.56","12,464.84","74,386.84","12,439.80",-688.78,-115.19,"1,397.19",233.65,"1,05,064.31","2,325.44",388.89,"1,12,442.99","18,803.98",298.68,49.95,"1,365.20",228.30,"1,04,736.78","17,515.26","5,294.15",885.35,"98,376.11","68,881.01","78,435.26","6,22,484.58","7,06,895.73","25,35,750.59","29,14,393.22","2,78,563.61","3,37,037.40","8,08,569.27","9,28,905.51","6,63,204.89","8,00,616.57","14,17,165.14","17,15,731.09"
2014-Q1,180.49,"-8,296.95","8,91,479.60","1,44,295.97","8,99,776.55","1,45,638.92","-54,810.83","-8,871.75","60,430.09","9,781.29","-4,999.17",-809.17,"5,619.26",909.54,"-39,609.00","5,16,865.03","7,06,335.99","-1,89,470.96","-43,904.30","-7,106.40","-5,616.40",-909.08,"-1,625.30",-263.07,"58,822.86","9,521.14","57,197.56","9,258.07",-497.41,-80.51,"1,875.11",303.51,"1,20,992.49","12,972.33","2,099.72","57,200.43","9,258.53","1,237.50",200.30,"1,528.39",247.39,"1,06,322.11","17,209.42","6,240.69","1,010.13","99,790.52","34,325.35","38,802.98","6,59,021.41","7,66,144.14","25,98,897.56","30,60,874.14","2,32,764.62","2,79,689.45","8,42,150.72","9,36,205.58","6,70,098.55","8,11,987.37","14,63,539.42","17,27,154.21"
2013-Q4,172.81,"-25,168.89","8,58,007.97","1,38,270.28","8,83,176.86","1,42,326.31","1,790.06",288.47,"35,853.10","5,777.82","-3,765.59",-606.84,"37,643.16","6,066.30","-33,830.83","4,95,149.09","7,00,866.91","-2,05,717.82","-1,18,538.69","-19,102.83","94,999.10","15,309.36",-891.31,-143.64,"15,722.23","2,533.68","14,830.92","2,390.04",-414.75,-66.84,"1,224.40",197.32,"1,12,738.05","14,449.26","2,328.54","1,47,473.18","23,765.70","2,490.39",401.33,"1,421.88",229.14,"1,07,024.02","17,247.21","6,450.82","1,039.57","1,01,641.71","31,359.37","35,128.25","6,13,839.61","7,26,997.88","24,97,997.34","29,21,070.04","1,95,395.20","2,37,025.21","7,87,578.62","8,75,621.31","6,32,540.66","7,83,768.99","14,73,208.35","17,52,700.85"
2013-Q3,169.24,"-31,926.90","8,62,676.38","1,38,592.72","8,94,603.29","1,43,721.91","-3,903.86",-627.17,"54,326.00","8,727.71","-2,827.48",-454.25,"50,422.14","8,100.54","-39,394.26","5,05,700.57","7,13,011.40","-2,07,310.83","64,454.06","10,354.83","-39,029.81","-6,270.31",-233.67,-37.54,"-40,858.34","-6,564.07","-41,092.01","-6,601.61","-1,082.04",-173.83,"1,648.53",264.84,"1,14,647.85","5,428.85",872.17,"-29,699.69","-4,771.38",212.72,34.17,"1,433.63",230.32,"1,07,755.97","17,311.47","6,404.72","1,028.95","1,00,130.33","32,224.17","35,820.38","6,45,078.06","7,47,412.79","23,57,078.87","26,86,203.23","2,79,484.71","3,31,309.47","7,79,670.09","8,55,856.49","6,84,552.49","8,27,689.81","12,99,202.94","15,15,620.76"
2013-Q2,162.28,"-1,21,743.20","7,32,752.51","1,31,017.27","8,54,495.72","1,52,785.14",64.20,11.48,"36,220.57","6,476.29","4,963.06",887.40,"36,284.77","6,487.77","-27,049.81","4,13,358.88","6,95,704.17","-2,82,345.29","1,934.93",345.97,"79,816.71","14,271.35","1,327.60",237.38,"-2,583.87",-462.00,"-1,256.27",-224.62,-946.63,-169.26,"1,341.18",239.81,"94,489.78","4,538.24",811.45,"1,14,845.22","20,534.50",731.62,130.81,"1,481.52",264.90,"99,942.09","17,869.80","6,030.07","1,078.19","93,162.12","31,849.09","34,869.69","5,50,329.83","6,16,226.48","23,47,396.37","25,65,374.45","2,72,180.59","3,08,484.91","7,85,524.88","8,47,937.64","6,57,363.38","7,68,364.73","13,21,378.64","14,80,173.31"
2013-Q1,160.84,"-98,420.40","7,69,829.80","1,42,126.71","8,68,250.20","1,60,297.18","-7,787.46","-1,437.73","38,842.88","7,171.21","1,635.24",301.90,"31,055.42","5,733.48","-28,084.99","4,59,168.90","7,06,352.89","-2,47,183.98","-14,519.87","-2,680.67","18,966.31","3,501.58","-1,221.08",-225.44,"62,504.39","11,539.62","61,283.31","11,314.18","-1,065.80",-196.77,"1,623.56",299.74,"91,861.20","15,005.11","2,770.26","1,11,305.04","20,549.24",530.67,97.97,"1,058.47",195.42,"90,984.83","16,797.71","5,469.65","1,009.81","84,987.38","54,053.04","57,902.11","5,76,192.15","6,23,666.38","24,67,081.87","27,25,478.91","2,69,642.19","3,01,102.82","8,45,527.46","9,04,112.97","7,19,914.21","7,89,813.73","13,51,601.70","14,94,822.17"
2012-Q4,156.97,"-1,72,031.33","7,07,951.61","1,30,740.97","8,79,982.94","1,62,510.85","-12,119.45","-2,238.16","23,521.53","4,343.84","5,853.87","1,081.06","11,402.07","2,105.68","-31,405.67","4,01,979.69","7,18,090.18","-3,16,110.50","-4,231.32",-781.42,"1,06,041.12","19,583.14",-389.38,-71.91,"53,354.97","9,853.33","52,965.59","9,781.42",-69.23,-12.78,-115.43,-21.32,"90,137.04","11,043.07","2,039.38","1,70,408.78","31,470.24","1,556.00",287.35,"1,059.84",195.73,"89,296.73","16,490.87","4,445.09",820.90,"85,347.80","48,221.46","51,525.07","5,28,616.54","5,66,043.39","23,44,767.21","25,48,377.83","1,89,644.94","2,09,686.92","7,69,338.93","8,15,439.44","7,36,031.60","7,98,750.14","13,77,374.40","15,08,200.85"
2012-Q3,147.10,"-1,16,674.23","7,03,250.04","1,27,354.18","8,19,924.27","1,48,483.15","-7,533.29","-1,364.23","52,588.33","9,523.42","1,247.43",225.90,"45,055.04","8,159.19","-30,820.08","4,00,748.25","6,64,661.72","-2,63,913.47",871.91,157.90,"26,882.00","4,868.16","-1,494.83",-270.70,"44,112.68","7,988.53","42,617.85","7,717.83",-135.35,-24.51,"1,417.58",256.71,"90,162.45","5,308.62",961.36,"1,14,554.89","20,745.17",205.45,37.20,"1,080.80",195.73,"93,231.26","16,883.60","4,459.04",807.50,"87,896.86","50,684.93","54,003.40","6,52,251.18","6,94,342.20","21,95,945.88","23,56,953.27","2,86,153.24","3,10,869.57","7,67,235.02","8,09,693.25","7,45,413.74","8,03,996.69","12,24,958.83","13,23,175.23"
2012-Q2,142.63,"-92,484.43","7,05,551.16","1,30,403.42","7,98,035.59","1,47,496.84","-11,327.88","-2,093.67","32,001.52","5,914.68","5,841.81","1,079.71","20,673.65","3,821.00","-26,453.17","4,05,792.75","6,43,041.01","-2,37,248.26","-2,823.07",-521.77,"79,191.92","14,636.64","-1,678.74",-310.27,"-8,721.14","-1,611.88","-10,399.88","-1,922.16",-25.41,-4.70,"1,530.62",282.90,"81,056.46","2,191.42",405.03,"89,465.69","16,535.49",218.06,40.30,999.24,184.68,"94,441.03","17,455.05","3,499.31",646.76,"90,160.54","48,568.69","51,093.80","5,32,776.12","5,55,655.03","22,05,223.44","23,13,203.09","2,28,822.60","2,40,744.76","7,63,691.79","7,95,727.47","6,77,719.59","7,15,867.44","12,25,156.81","12,88,286.60"
2012-Q1,134.10,"-1,09,440.34","6,95,534.84","1,38,343.59","8,04,975.18","1,60,111.54","-14,364.56","-2,857.15","21,184.03","4,213.55","-2,791.02",-555.14,"6,819.47","1,356.41","-22,993.37","4,03,071.95","6,62,085.74","-2,59,013.80","28,846.09","5,737.56","6,551.83","1,303.17",-864.64,-171.98,"70,878.61","14,097.93","70,013.98","13,925.95",-836.45,-166.37,"1,499.89",298.33,"88,089.11","11,182.08","2,224.14","83,385.27","16,585.54",495.86,98.63,805.35,160.19,"89,113.77","17,724.95","4,326.57",860.56,"84,477.72","57,112.47","58,186.52","5,76,375.69","5,88,925.54","23,65,461.40","24,18,511.13","2,86,688.05","2,93,585.57","8,20,867.22","8,36,034.07","7,17,193.58","7,32,601.44","12,81,610.50","13,13,205.35"
2011-Q4,125.48,"-1,01,626.21","6,53,265.67","1,28,266.35","7,54,891.88","1,48,220.29","-9,725.42","-1,909.55","35,002.88","6,872.69","-2,742.60",-538.50,"25,277.45","4,963.14","-19,492.41","3,63,643.06","6,11,694.05","-2,48,051.00","65,253.56","12,812.30","4,169.78",818.72,-238.03,-46.74,"9,906.05","1,945.02","9,668.02","1,898.28",-204.47,-40.15,"1,827.70",358.86,"82,340.31","7,831.07","1,537.60","39,115.26","7,680.14","1,788.47",351.16,757.71,148.77,"84,914.49","16,672.65","2,368.37",465.02,"83,576.88","49,219.42","49,374.63","5,53,499.21","5,57,993.27","22,25,135.23","22,44,852.23","2,20,375.10","2,23,407.77","7,52,161.74","7,56,940.13","7,13,920.56","7,19,821.61","12,64,939.50","12,81,386.00"
2011-Q3,119.44,"-86,480.11","6,02,724.95","1,31,666.60","6,89,205.06","1,50,558.38","-13,701.10","-2,993.04","43,387.53","9,478.10","-1,826.65",-399.04,"29,686.43","6,485.07","-18,116.56","3,64,198.63","5,68,030.49","-2,03,831.86","-1,264.43",-276.22,"65,357.19","14,277.42",859.75,187.81,"-6,333.38","-1,383.54","-5,473.63","-1,195.73",-148.43,-32.42,942.73,205.94,"64,050.51","3,208.69",700.95,"89,569.99","19,566.76",623.10,136.12,697.22,152.31,"74,341.14","16,239.99","2,849.21",622.42,"71,417.80","49,135.35","48,668.05","5,07,189.19","5,03,937.31","20,42,870.16","20,29,469.17","2,57,146.70","2,55,853.45","7,27,748.92","7,22,663.54","6,40,633.57","6,36,896.39","11,27,292.93","11,19,458.93"
2011-Q2,115.99,"-78,426.23","5,84,471.89","1,30,726.85","6,62,898.13","1,48,268.18","-14,002.96","-3,131.99","55,386.27","12,388.06","-4,199.25",-939.23,"41,383.31","9,256.06","-16,226.94","3,51,603.66","5,52,836.50","-2,01,232.84","-24,333.06","-5,442.49","54,212.43","12,125.51",-931.39,-208.32,"12,294.19","2,749.80","11,362.80","2,541.48",-280.88,-62.82,"1,211.95",271.07,"73,400.73","1,058.00",236.64,"1,06,958.54","23,923.05",207.56,46.42,651.30,145.67,"69,259.56","15,491.05","3,183.00",711.93,"65,700.00","52,515.90","51,753.98","5,06,866.91","4,93,074.88","21,02,862.82","20,43,496.29","2,04,165.15","1,95,528.21","6,96,954.79","6,82,095.08","6,43,806.29","6,26,234.56","12,36,604.36","11,96,397.95"
2011-Q1,106.63,"-28,218.39","5,88,007.82","1,29,878.93","6,16,226.20","1,36,111.80","-20,704.04","-4,573.10","35,125.99","7,758.62",-341.45,-75.42,"14,421.95","3,185.52","-20,959.08","3,52,594.11","4,86,429.46","-1,33,835.36","-9,195.05","-2,031.00","22,438.05","4,956.11",96.38,21.29,798.51,176.37,894.89,197.66,-503.39,-111.19,"1,294.44",285.91,"65,190.13","6,939.87","1,532.87","37,754.89","8,339.29",485.07,107.14,696.16,153.77,"64,872.33","14,328.97","3,275.32",723.45,"61,385.92",,,,,,,,,,,,,,
2010-Q4,99.40,"-50,418.87","5,29,239.39","1,17,970.70","5,79,658.26","1,29,209.38","-22,955.15","-5,116.84","28,833.77","6,427.22","-4,912.64","-1,095.06","5,878.62","1,310.38","-21,359.87","2,97,458.28","4,40,429.45","-1,42,971.18","-17,895.43","-3,989.00","39,090.30","8,713.47","-4,900.48","-1,092.35","33,158.49","7,391.23","28,258.01","6,298.88",-200.95,-44.79,441.17,98.34,"53,000.31","7,686.54","1,713.38","73,226.94","16,322.73","1,527.99",340.60,894.05,199.29,"63,171.21","14,081.25","2,893.28",644.93,"60,911.87",,,,,,,,,,,,,,
2010-Q3,99.81,"-80,032.53","4,64,119.63","99,834.43","5,44,152.16","1,17,049.83","-19,102.27","-4,108.99","36,276.77","7,803.31","-6,498.57","-1,397.87","17,174.50","3,694.32","-22,987.52","2,54,586.75","4,17,611.53","-1,63,024.78","-15,291.86","-3,289.35","-4,568.08",-982.62,-280.88,-60.42,"89,497.43","19,251.34","89,216.54","19,190.92",-373.24,-80.29,283.73,61.03,"45,653.46","3,747.93",806.20,"1,01,822.96","21,902.62",654.21,140.72,637.32,137.09,"62,818.86","13,512.65","2,509.45",539.80,"60,326.30",,,,,,,,,,,,,,
2010-Q2,94.24,"-60,983.74","4,51,526.42","98,962.53","5,12,510.16","1,12,328.53","-15,495.23","-3,396.14","32,120.99","7,040.06",-309.76,-67.89,"16,625.76","3,643.92","-16,499.22","2,61,026.00","4,01,664.93","-1,40,638.93","-17,068.69","-3,741.00","40,725.18","8,925.87",-214.70,-47.06,"21,225.95","4,652.16","21,011.25","4,605.10",-222.68,-48.80,455.99,99.94,"36,715.72","3,264.43",715.48,"78,362.19","17,174.90",267.11,58.54,644.71,141.30,"62,487.04","13,695.49","2,670.75",585.36,"59,438.69",,,,,,,,,,,,,,
2010-Q1,,"-58,091.98","4,42,933.54","96,440.71","5,01,025.52","1,09,089.18","-15,368.23","-3,346.15","28,135.25","6,125.94","2,716.14",591.39,"12,767.02","2,779.79","-10,467.94","2,42,052.16","3,86,272.74","-1,44,220.58","-9,832.91","-2,140.94","12,186.70","2,653.43",411.05,89.50,"39,843.98","8,675.30","40,255.03","8,764.80",-194.58,-42.37,447.54,97.44,"38,843.22","3,516.90",765.74,"65,208.74","14,198.02",582.74,126.88,653.34,142.25,"60,120.56","13,090.16","2,296.63",500.05,"57,753.32",,,,,,,,,,,,,,
